date,感染者,疑似者,死亡,治愈,累积密切接触
2020-06-12,83075,1,4634,78367,751383
2020-06-13,83132,2,4634,78369,752087
2020-06-14,83181,3,4634,78370,752978
2020-06-15,83221,4,4634,78377,753836
2020-06-16,83265,7,4634,78379,754269
2020-06-17,83293,7,4634,78394,754966
2020-06-18,83325,7,4634,78398,755832
2020-06-19,83352,11,4634,78410,756223
2020-06-20,83378,13,4634,78413,756965
2020-06-21,83396,15,4634,78413,758023
